City,State,Zip,Latitude,Longitude,Timezone,DST
Cove,AR,90085,34.398483,-94.39398,-6,1
Edgemont,AR,72044,35.624351,-92.16056,-6,1
Sherburn,MN,90100,43.660847,-94.74357,-6,1
Lamont,MI,90107,43.010337,-85.89754,-5,1
Richland,IA,52585,41.194129,-91.98027,-6,1
Cannelton,IN,90108,37.934311,-86.67821,-5,0
Zeeland,MI,90110,42.829252,-85.99621,-5,1
Covington,MI,49919,46.559834,-88.52201,-5,1
Cedar Rapids,IA,90113,41.97545,-91.65912,-6,1
Higdon,AL,90119,34.831242,-85.61564,-6,1
Midland City,AL,36350,31.319083,-85.48718,-6,1
Columbia,TN,90124,35.619784,-87.03565,-6,1
Muses Mills,KY,90126,38.3481,-83.718626,-5,1
Annandale,MN,55302,45.246631,-94.11692,-6,1
Greenville,SC,90128,34.825592,-82.34099,-5,1
Atlanta,GA,90129,33.844371,-84.47405,-5,1
Saint George,GA,90130,30.518903,-82.08063,-5,1
Shiloh,GA,90133,32.803518,-84.69384,-5,1
Frackville,PA,90134,40.649109,-76.503339,-5,1
Pipersville,PA,90136,40.426391,-75.11842,-5,1
Washington,DC,90141,38.893311,-77.014647,-5,1
Depew,NY,90142,42.904958,-78.7006,-5,1
Pittsburgh,PA,90143,40.434436,-80.024817,-5,1
Star Junction,PA,90145,40.062849,-79.76338,-5,1
Delray Beach,FL,90146,26.452473,-80.16509,-5,1
Avon,NC,90147,35.354252,-75.50417,-5,1
Chesapeake,VA,90152,36.7085,-76.278531,-5,1
Blacksburg,VA,90154,37.174227,-80.395698,-5,1
Beverly,WV,90156,38.827205,-79.89057,-5,1
Watertown,MA,90158,42.371296,-71.18196,-5,1
Jersey City,NJ,90164,40.73276,-74.075485,-5,1
Cabo Rojo,PR,90167,18.08643,-67.15222,-4,0
Protivin,IA,90173,43.21661,-92.09219,-6,1
Clarence,IA,90175,41.888182,-91.04567,-6,1
Hingham,WI,90179,43.639395,-87.915705,-6,1
Chicago,IL,90181,41.901485,-87.74055,-6,1
Venice,IL,90184,38.67065,-90.17052,-6,1
Casey,IL,90186,39.299447,-87.99863,-6,1
Saint Joseph,MO,90193,39.741794,-94.83237,-6,1
Cole Camp,MO,90195,38.451021,-93.19156,-6,1
